# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	SEGMENTS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	EDITID	SCAID	LEXSTATID	INFOMAP	ALIGNMENT	STRUCTURE
#
725	Maori	Maori	maor1246	1705	Eight	waru	waru	Biggs-85-2005	87872	663			w a r u	6 7 5 7	AXBZ	WARY	3	3.W.C 3.A.V 3.R.C 3.Y.V	2.0 1.5 1.75 0.8	waru	0	1	1	1	1	1	w a r u	c c c c
1169	Tahitian	Tahitian (Modern)	tahi1242	1705	Eight	va'u	va'u	Clark-173-2005	102829	663		varu	v a ʔ u	3 7 1 7	AXBZ	BAHY	9	9.B.C 9.A.V 9.H.C 9.Y.V	2.0 1.5 1.75 0.8	vaʔu	0	4	1	1	1	1	v a ʔ u	c c c c
1595	Rapanui	Rapanui (Easter Island)	rapa1244	1705	Eight	va'u	va'u	POLLEX	130627	663			v a ʔ u	3 7 1 7	AXBZ	BAHY	5	5.B.C 5.A.V 5.H.C 5.Y.V	2.0 1.5 1.75 0.8	vaʔu	0	4	1	1	1	1	v a ʔ u	c c c c
1853	Mangareva	Mangareva	mang1401	1705	Eight	varu	varu	POLLEX	321427	663			v a r u	3 7 5 7	AXBZ	BARY	2	2.B.C 2.A.V 2.R.C 2.Y.V	2.0 1.5 1.75 0.8	varu	0	1	1	1	1	1	v a r u	c c c c
3076	Sikaiana	Sikaiana	sika1261	1705	Eight	valu	valu	POLLEX	90606	663			v a l u	3 7 5 7	AXBZ	BALY	8	8.B.C 8.A.V 8.L.C 8.Y.V	2.0 1.5 1.75 0.8	valu	0	1	1	1	1	1	v a l u	c c c c
3297	North_Marquesan	Marquesan	nort2845	1705	Eight	va'u	va'u	POLLEX	128561	663			v a ʔ u	3 7 1 7	AXBZ	BAHY	4	4.B.C 4.A.V 4.H.C 4.Y.V	2.0 1.5 1.75 0.8	vaʔu	0	4	1	1	1	1	v a ʔ u	c c c c
4395	Ra’ivavae	Ra'ivavae	aust1304	1705	Eight	vaGu	vaGu	Tamaititahio-1213-2015	291337	663			v a ɢ u	3 7 1 7	AXBZ	BAKY	6	6.B.C 6.A.V 6.K.C 6.Y.V	2.0 1.5 1.75 0.8	vaɢu	0	6	1	1	1	1	v a ɢ u	c c c c
4592	Tuamotuan	Tuamotu	tuam1242	1705	Eight	varu	varu	POLLEX	90908	663			v a r u	3 7 5 7	AXBZ	BARY	10	10.B.C 10.A.V 10.R.C 10.Y.V	2.0 1.5 1.75 0.8	varu	0	1	1	1	1	1	v a r u	c c c c
5101	Rurutuan	Rurutuan	aust1304	1705	Eight	vaʔu	vaʔu	Meyer-128-2005	165162	663			v a ʔ u	3 7 1 7	AXBZ	BAHY	7	7.B.C 7.A.V 7.H.C 7.Y.V	2.0 1.5 1.75 0.8	vaʔu	0	4	1	1	1	1	v a ʔ u	c c c c
5614	Hawaiian	Hawaiian	hawa1245	1705	Eight	walu	walu	71458	90441	663			w a l u	6 7 5 7	AXBZ	WALY	1	1.W.C 1.A.V 1.L.C 1.Y.V	2.0 1.5 1.75 0.8	walu	0	1	1	1	1	1	w a l u	c c c c
#
720	Maori	Maori	maor1246	1717	Fifty	rima tekau	rima tekau	Biggs-85-2005	118270	1257			r i m a t e k a u	5 7 4 7 1 7 1 7 7	AXBYBYBYZ	RIMATEKAY	3	3.R.C 3.I.V 3.M.C 3.A.V 3.T.C 3.E.V 3.K.C 3.A.V 3.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	rimatekau	0	8	3	4	4	3	r i m a t e k a u	c c c c c c c c c
1849	Mangareva	Mangareva	mang1401	1717	Fifty	rima rongo'uru	rima rongo'uru	POLLEX	321431	1			r i m a r o ŋ o ʔ u r u	5 7 4 7 5 7 4 7 1 7 5 7	AXBYBYBYBYBZ	RIMARUNUHYRY	2	2.R.C 2.I.V 2.M.C 2.A.V 2.R.C 2.U.V 2.N.C 2.U.V 2.H.C 2.Y.V 2.R.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	rimaroŋoʔuru	0	8	3	3	3	4	r i m a r o ŋ o ʔ u r u	c c c c c c c c c c c c
4391	Ra’ivavae	Ra'ivavae	aust1304	1717	Fifty	pae ʔahuGu	pae ʔahuGu	Tamaititahio-1213-2015	291341	1380			p a e ʔ a h u ɢ u	1 7 7 1 7 3 7 1 7	AXYBYBYBZ	PAEHAHYKY	6	6.P.C 6.A.V 6.E.V 6.H.C 6.A.V 6.H.C 6.Y.V 6.K.C 6.Y.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 1.75 0.8	paeʔahuɢu	0	10	5	5	5	2	p a e ʔ a h u ɢ u	c c c c c c c c c
