ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	STRUCTURE
20697	837_rainfall	(rain) fall	EasternLuobuohe	Luobuohe, Eastern	ʔi⁵⁵ʔʑo³³	ʔi⁵⁵ʔʑo³³	ʔ i ⁵⁵ + ˀʑ o ³³	luop1235	1253	26.63966	107.913354		1 7 8 9 3 7 8	AXT_AXT	HI5_SU4	6	6.H.C 6.I.V 6.5.T 6._._ 6.S.C 6.U.V 6.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔi⁵⁵+ˀʑo³³	0	5 6	ʔ i ⁵⁵ + ˀʑ o ³³	i n t + i n t
20698	837_rainfall	(rain) fall	WesternLuobuohe	Luobuohe, Western	ʔø³¹	ʔø³¹	ʔ ø ³¹	luop1235	1253	26.854607	107.226676		1 7 8	AXT	HU3	11	11.H.C 11.U.V 11.3.T	1.6 3.0 1.0	ʔø³¹	0	6	ʔ ø ³¹	i n t
20699	837_rainfall	(rain) fall	Chuanqiandian	Chuanqiandian	lo²¹naŋ¹³	lo²¹naŋ¹³	l o ²¹ + n a ŋ ¹³	chua1248	1253	27.51846	105.421028		5 7 8 9 4 7 4 8	AXT_AXLT	LU3_NAN2	4	4.L.C 4.U.V 4.3.T 4._._ 4.N.C 4.A.V 4.N.c 4.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	lo²¹+naŋ¹³	0	3 1	l o ²¹ + n a ŋ ¹³	i n t + i n c t
20702	837_rainfall	(rain) fall	WesternXiangxi	Xiangxi, West	ta³¹noŋ⁴²	ta³¹noŋ⁴²	t a ³¹ + n o ŋ ⁴²	west2430	1253	28.33212	109.422366		1 7 8 9 4 7 4 8	AXT_AXLT	TA3_NUN3	13	13.T.C 13.A.V 13.3.T 13._._ 13.N.C 13.U.V 13.N.c 13.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	ta³¹+noŋ⁴²	0	2 1	t a ³¹ + n o ŋ ⁴²	i n t + i n c t
20703	837_rainfall	(rain) fall	EasternXiangxi	Xiangxi, East	da³¹naŋ¹³	da³¹naŋ¹³	d a ³¹ + n a ŋ ¹³	east2371	1253	28.124036	109.890473		1 7 8 9 4 7 4 8	AXT_AXLT	TA3_NAN2	8	8.T.C 8.A.V 8.3.T 8._._ 8.N.C 8.A.V 8.N.c 8.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	da³¹+naŋ¹³	0	2 1	d a ³¹ + n a ŋ ¹³	i n t + i n c t
20706	837_rainfall	(rain) fall	WesternQiandong	Qiandong, West	ta⁵⁵nuŋ²²	ta⁵⁵nuŋ²²	t a ⁵⁵ + n u ŋ ²²		1253	26.43106	107.68758		1 7 8 9 4 7 4 8	AXT_AXLT	TA5_NYN1	12	12.T.C 12.A.V 12.5.T 12._._ 12.N.C 12.Y.V 12.N.c 12.1.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	ta⁵⁵+nuŋ²²	0	2 1	t a ⁵⁵ + n u ŋ ²²	i n t + i n c t
20707	837_rainfall	(rain) fall	WesternBaheng	Baheng, West	no¹¹	no¹¹	n o ¹¹	pahn1237	1253	25.74971	109.286281		4 7 8	AXT	NU1	10	10.N.C 10.U.V 10.1.T	1.6 3.0 1.0	no¹¹	0	7	n o ¹¹	i n t
20708	837_rainfall	(rain) fall	EasternBahen	Baheng, East	puŋ³⁵	puŋ³⁵	p u ŋ ³⁵	pahn1237	1253	27.11733	111.02615		1 7 4 8	AXLT	PYN2	5	5.P.C 5.Y.V 5.N.c 5.2.T	1.6 3.0 1.1 1.0	puŋ³⁵	0	4	p u ŋ ³⁵	i n c t
20711	837_rainfall	(rain) fall	Numao	Numao	lau⁵³	lau⁵³	l au ⁵³	numa1251	1253	25.447767	108.064732		5 7 8	AXT	LA3	9	9.L.C 9.A.V 9.3.T	1.6 3.0 1.0	lau⁵³	0	3	l au ⁵³	i n t
20712	837_rainfall	(rain) fall	Bana	Bana	nuŋ²²	nuŋ²²	n u ŋ ²²		1253	26.265147	110.096902		4 7 4 8	AXLT	NYN1	1	1.N.C 1.Y.V 1.N.c 1.1.T	1.6 3.0 1.1 1.0	nuŋ²²	0	1	n u ŋ ²²	i n c t
20713	837_rainfall	(rain) fall	Younuo	Younuo	to¹³	to¹³	t o ¹³	youn1235	1253	25.730893	110.115975		1 7 8	AXT	TU2	14	14.T.C 14.U.V 14.2.T	1.6 3.0 1.0	to¹³	0	2	t o ¹³	i n t
20718	837_rainfall	(rain) fall	BiaoMin	Biao Min	tui³¹	tui³¹	t ui ³¹	biao1254	1253	25.82286	111.29622		1 7 8	AXT	TY3	2	2.T.C 2.Y.V 2.3.T	1.6 3.0 1.0	tui³¹	0	2	t ui ³¹	i n t
20719	837_rainfall	(rain) fall	ZaoMin	Zao Min	ga²²	ga²²	g a ²²	dzao1238	1253	24.612303	112.266749		1 7 8	AXT	KA1	15	15.K.C 15.A.V 15.1.T	1.6 3.0 1.0	ga²²	0	8	g a ²²	i n t
17395	706_windblow	(wind) blow	EasternLuobuohe	Luobuohe, Eastern	qwa³¹	qwa³¹	q w a ³¹	luop1235	175	26.63966	107.913354		1 6 7 8	ACXT	KWA3	6	6.K.C 6.W.C 6.A.V 6.3.T	1.6 1.2 3.0 1.0	qwa³¹	0	22	q w a - ³¹	i m n t
17396	706_windblow	(wind) blow	WesternLuobuohe	Luobuohe, Western	qwɑ³¹	qwɑ³¹	q w ɑ ³¹	luop1235	175	26.854607	107.226676		1 6 7 8	ACXT	KWA3	11	11.K.C 11.W.C 11.A.V 11.3.T	1.6 1.2 3.0 1.0	qwɑ³¹	0	22	q w ɑ - ³¹	i m n t
17397	706_windblow	(wind) blow	Chuanqiandian	Chuanqiandian	kua²⁴	kua²⁴	k u/w a ²⁴	chua1248	175	27.51846	105.421028		1 6 7 8	ACXT	KWA2	4	4.K.C 4.W.C 4.A.V 4.2.T	1.6 1.2 3.0 1.0	ku/wa²⁴	0	22	k u/w a - ²⁴	i m n t
